name	user	system	elapsed
DiversityCurves	0.92	0.02	0.98	
SamplingConv	6.29	0.00	6.35	
binTimeData	0.05	0.01	0.08	
degradeTree	0.03	0.00	0.04	
depthRainbow	0.95	0.02	0.98	
droppingBranches	0.37	0.02	0.44	
expandTaxonTree	0.03	0.00	0.03	
getSampProbDisc	3.06	0.00	3.12	
getSampRateCont	2.93	0.01	2.99	
multiDiv	2.48	0.00	2.70	
paleotree-package	0.19	0.03	0.25	
plotTraitgram	0.38	0.05	0.48	
sampleRanges	0.06	0.00	0.08	
simFossilTaxa	2.34	0.02	2.49	
simPaleoTrees	4.78	0.00	5.16	
srcTimescaling	6.42	0.00	6.57	
taxa2cladogram	0.19	0.00	0.20	
taxa2phylo	0.33	0.00	0.33	
timePaleoPhy	0.39	0.00	0.51	
timeSliceTree	0.22	0.01	0.26	
unitLengthTree	0.01	0.00	0.01	
